title,price,rating,availability,category,source,rating_num
A Light in the Attic,51.77,Three,In stock,Poetry,Books to Scrape,3
Tipping the Velvet,53.74,One,In stock,Historical Fiction,Books to Scrape,1
Soumission,50.1,One,In stock,Fiction,Books to Scrape,1
Sharp Objects,47.82,Four,In stock,Mystery,Books to Scrape,4
Sapiens: A Brief History of Humankind,54.23,Five,In stock,History,Books to Scrape,5
The Requiem Red,22.65,One,In stock,Young Adult,Books to Scrape,1
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,In stock,Business,Books to Scrape,4
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,In stock,Default,Books to Scrape,3
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four,In stock,Default,Books to Scrape,4
The Black Maria,52.15,One,In stock,Poetry,Books to Scrape,1
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,In stock,Default,Books to Scrape,2
Shakespeare's Sonnets,20.66,Four,In stock,Poetry,Books to Scrape,4
Set Me Free,17.46,Five,In stock,Young Adult,Books to Scrape,5
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,In stock,Sequential Art,Books to Scrape,5
Rip it Up and Start Again,35.02,Five,In stock,Music,Books to Scrape,5
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,In stock,Music,Books to Scrape,3
Olio,23.88,One,In stock,Poetry,Books to Scrape,1
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,In stock,Science Fiction,Books to Scrape,1
Libertarianism for Beginners,51.33,Two,In stock,Politics,Books to Scrape,2
It's Only the Himalayas,45.17,Two,In stock,Travel,Books to Scrape,2
In Her Wake,12.84,One,In stock,Thriller,Books to Scrape,1
How Music Works,37.32,Two,In stock,Music,Books to Scrape,2
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,In stock,Food and Drink,Books to Scrape,3
Chase Me (Paris Nights #2),25.27,Five,In stock,Romance,Books to Scrape,5
Black Dust,34.53,Five,In stock,Romance,Books to Scrape,5
Birdsong: A Story in Pictures,54.64,Three,In stock,Childrens,Books to Scrape,3
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Three,In stock,Default,Books to Scrape,3
Aladdin and His Wonderful Lamp,53.13,Three,In stock,Default,Books to Scrape,3
Worlds Elsewhere: Journeys Around Shakespeare’s Globe,40.3,Five,In stock,Nonfiction,Books to Scrape,5
Wall and Piece,44.18,Four,In stock,Art,Books to Scrape,4
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,In stock,Spirituality,Books to Scrape,5
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,In stock,Nonfiction,Books to Scrape,3
The Elephant Tree,23.82,Five,In stock,Thriller,Books to Scrape,5
The Bear and the Piano,36.89,One,In stock,Childrens,Books to Scrape,1
Sophie's World,15.94,Five,In stock,Philosophy,Books to Scrape,5
Penny Maybe,33.29,Three,In stock,Default,Books to Scrape,3
Maude (1883-1993):She Grew Up with the country,18.02,Two,In stock,Default,Books to Scrape,2
"In a Dark, Dark Wood",19.63,One,In stock,Mystery,Books to Scrape,1
Behind Closed Doors,52.22,Four,In stock,Thriller,Books to Scrape,4
